"rules" "support" "confidence" "coverage" "lift" "count"
"711" "{Tas Makeup,Tas Pinggang Wanita} => {Baju Renang Anak Perempuan}" 0.0104347826086957 0.878048780487805 0.0118840579710145 24.4295830055075 36
"721" "{Tas Makeup,Tas Travel} => {Baju Renang Anak Perempuan}" 0.0101449275362319 0.813953488372093 0.012463768115942 22.6462865716429 35
"716" "{Tas Makeup,Tas Ransel Mini} => {Baju Renang Anak Perempuan}" 0.011304347826087 0.735849056603774 0.0153623188405797 20.4732197200243 39
"577" "{Sunblock Cream,Tas Pinggang Wanita} => {Kuas Makeup }" 0.016231884057971 0.691358024691358 0.0234782608695652 20.2134337727558 56
"710" "{Baju Renang Anak Perempuan,Tas Pinggang Wanita} => {Tas Makeup}" 0.0104347826086957 0.8 0.0130434782608696 19.5744680851064 36
"715" "{Baju Renang Anak Perempuan,Tas Ransel Mini} => {Tas Makeup}" 0.011304347826087 0.795918367346939 0.0142028985507246 19.4745983499783 39
"705" "{Baju Renang Anak Perempuan,Celana Pendek Green/Hijau} => {Tas Makeup}" 0.0101449275362319 0.777777777777778 0.0130434782608696 19.0307328605201 35
"713" "{Tas Makeup,Tas Waist Bag} => {Baju Renang Anak Perempuan}" 0.00434782608695652 0.681818181818182 0.0063768115942029 18.9699413489736 15
"706" "{Celana Pendek Green/Hijau,Tas Makeup} => {Baju Renang Anak Perempuan}" 0.0101449275362319 0.673076923076923 0.0150724637681159 18.7267369727047 35
"584" "{Dompet Flip Cover,Sunblock Cream} => {Kuas Makeup }" 0.016231884057971 0.629213483146067 0.0257971014492754 18.3964959055418 56
"860" "{Baju Kaos Anak - Karakter Kartun,Celana Pendek Jeans} => {Tas Tangan}" 0.0315942028985507 0.668711656441718 0.0472463768115942 18.0238688650307 109
"1075" "{Baju Kaos Anak - Karakter Kartun,Cream Whitening} => {Celana Panjang Format Hitam}" 0.0263768115942029 0.866666666666667 0.0304347826086956 17.9041916167665 91
"581" "{Sunblock Cream,Tas Travel} => {Kuas Makeup }" 0.0159420289855072 0.611111111111111 0.0260869565217391 17.8672316384181 55
"848" "{Baju Kaos Anak - Karakter Kartun,Tank Top} => {Tas Tangan}" 0.031304347826087 0.642857142857143 0.048695652173913 17.3270089285714 108
"708" "{Baju Renang Wanita Dewasa,Tas Makeup} => {Baju Renang Anak Perempuan}" 0.00347826086956522 0.6 0.00579710144927536 16.6935483870968 12
"733" "{Baju Batik Wanita,Baju Renang Anak Perempuan} => {Tas Makeup}" 0.0118840579710145 0.672131147540984 0.0176811594202899 16.4457621206836 41
"737" "{Baju Renang Anak Perempuan,Shampo Biasa} => {Tas Makeup}" 0.0194202898550725 0.67 0.0289855072463768 16.3936170212766 67
"738" "{Shampo Biasa,Tas Makeup} => {Baju Renang Anak Perempuan}" 0.0194202898550725 0.587719298245614 0.0330434782608696 16.3518675721562 67
"731" "{Baju Kemeja Putih,Tas Makeup} => {Baju Renang Anak Perempuan}" 0.00550724637681159 0.575757575757576 0.00956521739130435 16.0190615835777 19
"712" "{Baju Renang Anak Perempuan,Tas Waist Bag} => {Tas Makeup}" 0.00434782608695652 0.652173913043478 0.00666666666666667 15.9574468085106 15
"869" "{Baju Kaos Anak - Karakter Kartun,Cover Koper} => {Tas Tangan}" 0.031304347826087 0.58695652173913 0.0533333333333333 15.8203125 108
"726" "{Baju Renang Anak Perempuan,Sepatu Sandal Anak} => {Tas Makeup}" 0.00550724637681159 0.633333333333333 0.00869565217391304 15.4964539007092 19
"734" "{Baju Batik Wanita,Tas Makeup} => {Baju Renang Anak Perempuan}" 0.0118840579710145 0.554054054054054 0.0214492753623188 15.4152136006975 41
"717" "{Baju Renang Anak Perempuan,Flat Shoes Ballerina} => {Tas Makeup}" 0.00376811594202899 0.619047619047619 0.00608695652173913 15.1469098277609 13
"728" "{Baju Renang Anak Perempuan,Cover Koper} => {Tas Makeup}" 0.0072463768115942 0.609756097560976 0.0118840579710145 14.9195640892579 25
"1090" "{Baju Batik Wanita,Cream Whitening} => {Celana Panjang Format Hitam}" 0.0266666666666667 0.713178294573643 0.0373913043478261 14.7333240495753 92
"727" "{Sepatu Sandal Anak,Tas Makeup} => {Baju Renang Anak Perempuan}" 0.00550724637681159 0.527777777777778 0.0104347826086957 14.6841397849462 19
"707" "{Baju Renang Anak Perempuan,Baju Renang Wanita Dewasa} => {Tas Makeup}" 0.00347826086956522 0.6 0.00579710144927536 14.6808510638298 12
